Iteration,Value,Array_Instance
15,-0.3984667731764784,17
16,-0.3984667731764784,17
17,-0.3984667731764784,17
18,-0.3984667731764784,17
19,-0.3984667731764784,17
20,-0.39823944702122205,17
1,-1.1569897379864553,18
2,-1.1569897379864553,18
3,-1.1569897379864553,18
4,-1.0773756646818722,18
5,-0.5172994481466588,18
6,-0.5172994481466588,18
7,-0.4023673978377431,18
8,-0.4023673978377431,18
9,-0.4023673978377431,18
10,-0.4023673978377431,18
11,-0.4023673978377431,18
12,-0.4006973765573232,18
13,-0.4006973765573232,18
14,-0.4006973765573232,18
15,-0.4002263496292109,18
16,-0.39871605749409866,18
17,-0.397960705442987,18
18,-0.3979219904355684,18
19,-0.39791884008719336,18
20,-0.39789790297865757,18
1,-2.3820755049283546,19
2,-2.3820755049283546,19
3,-2.3820755049283546,19
4,-2.3820755049283546,19
5,-2.3820755049283546,19
6,-2.3820755049283546,19
7,-0.9908461616725805,19
8,-0.5263676856821196,19
9,-0.5256012919614363,19
10,-0.5256012919614363,19
11,-0.5256012919614363,19
12,-0.5256012919614363,19
13,-0.5256012919614363,19
14,-0.4006931406976584,19
15,-0.4006931406976584,19
16,-0.4006931406976584,19
17,-0.4006931406976584,19
18,-0.4006931406976584,19
19,-0.3987043524013121,19
20,-0.3981837351867181,19
1,-4.793952181978977,20
2,-4.793952181978977,20
3,-4.793952181978977,20
4,-0.89044832229985,20
5,-0.89044832229985,20
6,-0.89044832229985,20
7,-0.5786612221813172,20
8,-0.5786612221813172,20
9,-0.39942697628756463,20
10,-0.39942697628756463,20
11,-0.39942697628756463,20
12,-0.39942697628756463,20
13,-0.39942697628756463,20
14,-0.39942697628756463,20
15,-0.39942697628756463,20
16,-0.39942697628756463,20
17,-0.3989144869729948,20
18,-0.3989144869729948,20
19,-0.3989060545556047,20
20,-0.3979746857668456,20
1,-4.9882260638172315,21
2,-4.9882260638172315,21
3,-4.9882260638172315,21
4,-0.6072264661855051,21
5,-0.5843858448237622,21
6,-0.5843858448237622,21
7,-0.5843858448237622,21
8,-0.5843858448237622,21
9,-0.554950531481639,21
10,-0.554950531481639,21
11,-0.554950531481639,21
12,-0.39967651377998337,21
13,-0.39967651377998337,21
14,-0.39967651377998337,21
15,-0.39967651377998337,21
16,-0.39967651377998337,21
17,-0.39967651377998337,21
18,-0.39967651377998337,21
19,-0.39967651377998337,21
20,-0.39932809036695716,21
